city_id,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
154,Oranjestad,40,AW,1667515125,86,12.524,-70.027,84.15,17.27
155,Limbe,92,CM,1667515125,84,4.0242,9.2149,77.65,4.63
156,Petrov Val,100,RU,1667515126,85,50.1434,45.2096,34.7,8.21
157,Bambous Virieux,20,MU,1667515126,88,-20.3428,57.7575,73.22,3.44
158,Paracuru,41,BR,1667515126,81,-3.41,-39.0306,80.11,11.86
159,Torbay,40,CA,1667514938,61,47.6666,-52.7314,38.75,21.85
160,Beyneu,46,KZ,1667515127,84,45.3167,55.2,39.92,9.22
161,Portland,100,US,1667514983,84,45.5234,-122.6762,49.89,5.99
162,Haines Junction,100,CA,1667515127,74,60.7522,-137.5108,30.15,1.14
163,Chokurdakh,100,RU,1667515128,95,70.6333,147.9167,-12.35,3.47
164,Rawson,0,AR,1667514984,25,-43.3002,-65.1023,73.0,24.81
165,Luanda,98,AO,1667515128,85,-8.8368,13.2343,76.89,7.99
166,Al Bardīyah,0,LY,1667515129,74,31.7561,25.0865,67.1,6.93
167,Perehonivka,94,UA,1667515129,78,48.5355,30.5192,48.78,8.21
168,Vila,81,PT,1667515130,92,42.0304,-8.1588,41.88,3.31
169,Karwar,23,IN,1667515130,73,14.8,74.1333,77.59,7.11
170,Magdagachi,72,RU,1667515130,88,53.45,125.8,10.87,3.24
171,Esim,88,GH,1667515131,85,4.8699,-2.2405,78.75,6.22
172,New Norfolk,14,AU,1667515131,47,-42.7826,147.0587,57.92,3.11
173,Jiménez,5,MX,1667515132,12,28.3333,-105.4,84.0,21.52
174,Alyangula,43,AU,1667515132,43,-13.8483,136.4192,86.29,16.37
175,Kiama,41,AU,1667515132,75,-34.6833,150.8667,64.58,1.99
176,Resistencia,0,AR,1667515072,32,-27.4606,-58.9839,76.98,5.75
177,Buala,90,SB,1667515133,73,-8.145,159.5921,84.11,6.78
178,Souillac,20,MU,1667515133,88,-20.5167,57.5167,71.98,3.44
179,Portales,66,US,1667515092,24,34.1862,-103.3344,75.02,13.0
180,Taltal,22,CL,1667515134,70,-25.4,-70.4833,63.07,5.08
181,Yulara,0,AU,1667515134,28,-25.2406,130.9889,67.84,17.9
182,Port Alfred,94,ZA,1667515134,83,-33.5906,26.891,67.96,20.09
183,Båtsfjord,100,NO,1667515135,93,70.6345,29.7185,40.93,23.02
184,Athabasca,64,CA,1667515135,76,54.7169,-113.2854,23.41,10.18
185,Arecibo,78,PR,1667514890,84,18.4724,-66.7157,81.27,1.99
186,Airai,99,TL,1667515136,80,-8.9266,125.4092,67.19,2.1
187,São Gabriel da Cachoeira,100,BR,1667515136,85,-0.1303,-67.0892,70.88,1.88
188,Vardø,100,NO,1667515136,87,70.3705,31.1107,39.18,34.52
189,Touros,30,BR,1667515137,79,-5.1989,-35.4608,78.49,13.27
190,Ballitoville,100,ZA,1667515137,88,-29.539,31.2144,70.16,2.3
191,Grindavik,0,IS,1667515138,87,63.8424,-22.4338,36.07,9.22
192,Mâncio Lima,0,BR,1667515138,39,-7.6142,-72.8958,82.47,3.44
193,Harper,100,LR,1667515138,88,4.375,-7.7169,77.79,6.82
194,Muros,97,ES,1667515139,93,42.7762,-9.0603,53.17,4.5
195,Aberdeen,0,GB,1667515107,93,57.1437,-2.0981,44.49,2.3
196,Clearwater,100,US,1667515034,72,27.9659,-82.8001,83.01,13.0
197,Qaanaaq,34,GL,1667515139,54,77.484,-69.3632,7.41,8.66
198,Ruteng,89,ID,1667515140,86,-8.6136,120.4721,68.0,1.7
199,Olafsvik,54,IS,1667515140,88,64.8945,-23.7142,40.51,12.41
200,Tautira,94,PF,1667515141,82,-17.7333,-149.15,75.42,19.55
201,Mitsamiouli,0,KM,1667515141,78,-11.3847,43.2844,76.17,9.78
202,Aklavik,100,CA,1667515141,79,68.2191,-135.0107,10.4,9.22
203,Anadyr,0,RU,1667515142,78,64.75,177.4833,5.5,6.71
204,Hamilton,0,US,1667515054,59,39.1834,-84.5333,70.75,5.75
205,Lypova Dolyna,99,UA,1667515142,90,50.5643,33.7979,41.83,5.26
206,Saint Anthony,100,US,1667515143,75,45.0205,-93.218,64.65,14.97
207,Great Falls,0,US,1667515143,49,47.5002,-111.3008,39.65,23.02
208,Nishihara,75,JP,1667515143,92,26.1842,127.7558,74.48,20.71
209,Mékhé,100,SN,1667515144,30,15.1097,-16.6218,82.42,6.85
210,Carnarvon,0,AU,1667515144,77,-24.8667,113.6333,69.82,17.11
211,Saint-Philippe,88,RE,1667515145,80,-21.3585,55.7679,71.19,10.07
212,Yola,100,NG,1667514846,36,9.2,12.4833,79.27,1.52
213,Vaini,40,TO,1667515145,74,-21.2,-175.2,82.56,11.5
214,Charters Towers,2,AU,1667515145,47,-20.1,146.2667,76.98,14.7
215,Llata,84,PE,1667515146,90,-9.4167,-76.7833,53.87,5.23
216,Ekibastuz,65,KZ,1667515146,53,51.6667,75.3667,35.55,10.22
217,Tessalit,0,ML,1667515147,18,20.1986,1.0114,73.18,11.68
218,Chennai,75,IN,1667514937,94,13.0878,80.2785,75.18,4.61
219,Aykhal,100,RU,1667515147,94,66.0,111.5,5.68,23.87
220,Byron Bay,3,AU,1667514845,56,-28.65,153.6167,66.7,11.9
221,Barrow,100,US,1667515148,85,71.2906,-156.7887,10.42,10.36
222,Tuktoyaktuk,100,CA,1667515148,79,69.4541,-133.0374,12.2,10.36
223,Nelson,5,NZ,1667515149,50,-41.2833,173.2833,64.26,8.28
224,Cidreira,0,BR,1667515149,75,-30.1811,-50.2056,59.94,8.39
225,Provideniya,98,RU,1667515150,69,64.3833,-173.3,16.72,5.21
226,Cap-aux-Meules,40,CA,1667515150,70,47.3821,-61.8597,44.65,10.36
227,Mayo,0,US,1667515150,79,38.8876,-76.5119,66.67,0.0
228,Bosaso,1,SO,1667515151,79,11.2842,49.1816,78.06,3.18
229,Bethel,0,US,1667515151,66,41.3712,-73.414,59.83,1.01
230,Laguna,0,US,1667515152,33,38.421,-121.4238,64.69,12.66
231,Tasiilaq,100,GL,1667515152,95,65.6145,-37.6368,32.16,11.45
232,Manggar,100,ID,1667515153,81,-2.8833,108.2667,79.83,3.67
233,Ribeira Grande,75,PT,1667514683,94,38.5167,-28.7,68.77,11.01
234,Jalu,97,LY,1667515153,52,29.0331,21.5482,64.85,8.79
235,Cervo,58,ES,1667515154,74,43.6702,-7.4101,60.96,14.7
236,Lagoa,1,PT,1667515154,88,39.05,-27.9833,67.03,10.8
237,Mount Isa,0,AU,1667515154,21,-20.7333,139.5,71.37,14.97
238,Akureyri,100,IS,1667515155,93,65.6835,-18.0878,37.33,0.0
239,Ulaangom,100,MN,1667515155,87,49.9811,92.0667,23.72,4.03
240,Zhoucheng,57,CN,1667515156,68,35.9122,116.3117,42.42,3.04
241,Dikson,100,RU,1667515156,87,73.5069,80.5464,24.01,5.21
242,Ciudad Bolivar,100,VE,1667515156,87,8.1222,-63.5497,77.18,6.06
243,San Patricio,31,US,1667515157,74,28.017,-97.5169,84.06,15.84
244,Iqaluit,75,CA,1667515157,78,63.7506,-68.5145,6.53,6.91
245,Wewak,100,PG,1667515157,73,-3.5534,143.6268,83.95,0.83
246,Bengkulu,100,ID,1667515158,89,-3.8004,102.2655,75.92,5.32
247,Sakakah,0,SA,1667515158,46,29.9697,40.2064,63.97,1.74
248,Sept-Îles,75,CA,1667515159,79,50.2001,-66.3821,35.6,6.91
249,Andenes,75,NO,1667515159,81,69.3143,16.1194,44.92,9.22
250,Ha Tinh,99,VN,1667515063,70,18.3333,105.9,69.4,3.87
251,Nikolskoye,83,RU,1667515160,90,59.7035,30.7861,33.69,2.77
252,Rio Grande,0,BR,1667515160,74,-32.035,-52.0986,62.71,12.53
253,La Ronge,100,CA,1667515160,80,55.1001,-105.2842,23.25,10.36
254,Kalmunai,100,LK,1667515161,86,7.4167,81.8167,77.56,2.73
255,San Miguel de Tucumán,0,AR,1667515161,14,-26.8241,-65.2226,80.6,17.27
256,Dubbo,2,AU,1667515162,77,-32.25,148.6167,57.33,6.91
257,Udachny,100,RU,1667515162,84,66.4167,112.4,8.46,17.96
258,Dalianwan,0,CN,1667515162,80,39.0286,121.695,30.24,4.47
259,Orël-Izumrud,100,RU,1667515163,87,43.4583,39.9244,53.62,7.0
260,Ancud,14,CL,1667515163,87,-41.8697,-73.8203,55.44,6.35
261,Lipin Bor,91,RU,1667515163,94,60.2622,37.9763,27.25,5.7
262,Ahipara,56,NZ,1667515164,65,-35.1667,173.1667,66.27,7.58
263,San Quintín,10,MX,1667515164,47,30.4833,-115.95,62.55,21.99
264,Singaraja,86,ID,1667515165,82,-8.112,115.0882,80.83,2.42
265,Stantsionno-Oyashinskiy,100,RU,1667515165,82,55.4664,83.8245,30.6,4.65
266,Joshīmath,1,IN,1667515165,31,30.5667,79.5667,52.81,7.83
267,São João da Barra,100,BR,1667515166,68,-21.6403,-41.0511,68.09,12.5
268,Taoudenni,43,ML,1667515166,15,22.6783,-3.9836,76.21,10.33
269,Florø,75,NO,1667515166,76,61.5996,5.0328,51.96,10.36
270,Severobaykal'sk,81,RU,1667515167,77,55.65,109.3167,24.58,6.51
